最速下降法：
第1次迭代, f(x_1) = 0.7711096853451352, x1 = 0.1612617799292677, x2 = 0.0000000000000000
第58次迭代, f(x_58) = 0.2470156906965956, x1 = 0.5029932689750238, x2 = 0.2530018756101042
第59次迭代, f(x_59) = 0.2446214478234312, x1 = 0.5077885129468871, x2 = 0.2530022162408119
第60次迭代, f(x_60) = 0.2422724865472598, x1 = 0.5077881690381036, x2 = 0.2578485348323662
第61次迭代, f(x_61) = 0.2399671397432362, x1 = 0.5124510820575370, x2 = 0.2578488093711424
第62次迭代, f(x_62) = 0.2377042204579498, x1 = 0.5124508020246832, x2 = 0.2626054842741507
第63次迭代, f(x_63) = 0.2354822211333276, x1 = 0.5169888306743243, x2 = 0.2626058009695243
第64次迭代, f(x_64) = 0.2333000506155271, x1 = 0.5169885605866126, x2 = 0.2672768351070343
第65次迭代, f(x_65) = 0.2311563407311556, x1 = 0.5214084745569250, x2 = 0.2672771432076841
第66次迭代, f(x_66) = 0.2290500912009052, x1 = 0.5214082207253071, x2 = 0.2718661922155856
第67次迭代, f(x_67) = 0.2269800569429525, x1 = 0.5257163500224384, x2 = 0.2718664986773661
第68次迭代, f(x_68) = 0.2249453294504488, x1 = 0.5257159823140879, x2 = 0.2763768679362612
第69次迭代, f(x_69) = 0.2229447554559340, x1 = 0.5299178904678279, x2 = 0.2763772454956702
第70次迭代, f(x_70) = 0.2209774896985453, x1 = 0.5299175713851224, x2 = 0.2808123858084883
第71次迭代, f(x_71) = 0.2190424725435543, x1 = 0.5340184821957670, x2 = 0.2808126009969618
第72次迭代, f(x_72) = 0.2171389406638068, x1 = 0.5340183043704338, x2 = 0.2851754079383231
第73次迭代, f(x_73) = 0.2152659214733180, x1 = 0.5380232138292521, x2 = 0.2851755295247052
第74次迭代, f(x_74) = 0.2134227197546696, x1 = 0.5380230311444172, x2 = 0.2894686525238347
第75次迭代, f(x_75) = 0.2116084223105292, x1 = 0.5419363447144975, x2 = 0.2894687622392187
第76次迭代, f(x_76) = 0.2098223755066090, x1 = 0.5419362757143941, x2 = 0.2936948811816706
第77次迭代, f(x_77) = 0.2080637535085478, x1 = 0.5457622208964309, x2 = 0.2936949193973891
第78次迭代, f(x_78) = 0.2063319435394669, x1 = 0.5457622389768867, x2 = 0.2978563795525885
第79次迭代, f(x_79) = 0.2046261964163468, x1 = 0.5495048862488551, x2 = 0.2978564141093786
第80次迭代, f(x_80) = 0.2029459522115918, x1 = 0.5495047700494271, x2 = 0.3019553086691709
第81次迭代, f(x_81) = 0.2012904938524775, x1 = 0.5531675634858211, x2 = 0.3019554579843679
第82次迭代, f(x_82) = 0.1996592686700757, x1 = 0.5531675160983910, x2 = 0.3059942380954321
第83次迭代, f(x_83) = 0.1980516360861644, x1 = 0.5567539300812071, x2 = 0.3059942884781622
第84次迭代, f(x_84) = 0.1964671002775174, x1 = 0.5567539055135244, x2 = 0.3099749174205543
第85次迭代, f(x_85) = 0.1949050448455783, x1 = 0.5602672138692519, x2 = 0.3099749125728338
第86次迭代, f(x_86) = 0.1933650466987388, x1 = 0.5602670734448481, x2 = 0.3138990528685325
第87次迭代, f(x_87) = 0.1918465001163023, x1 = 0.5637101263385629, x2 = 0.3138991630528271
第88次迭代, f(x_88) = 0.1903489881615324, x1 = 0.5637099724265031, x2 = 0.3177688126073429
第89次迭代, f(x_89) = 0.1888719579031010, x1 = 0.5670856130736237, x2 = 0.3177689057699529
第90次迭代, f(x_90) = 0.1874150391665371, x1 = 0.5670854135526675, x2 = 0.3215855892770606
第91次迭代, f(x_91) = 0.1859777185394956, x1 = 0.5703961901253910, x2 = 0.3215858011223326
第92次迭代, f(x_92) = 0.1845596055981740, x1 = 0.5703959897871154, x2 = 0.3253513171786102
第93次迭代, f(x_93) = 0.1831602440664898, x1 = 0.5736445726169866, x2 = 0.3253515198393501
第94次迭代, f(x_94) = 0.1817793194900571, x1 = 0.5736441398683919, x2 = 0.3290671355918098
第95次迭代, f(x_95) = 0.1804163393924541, x1 = 0.5768326829485955, x2 = 0.3290674823528881
第96次迭代, f(x_96) = 0.1790710047686511, x1 = 0.5768321790045974, x2 = 0.3327347096352455
第97次迭代, f(x_97) = 0.1777428889604209, x1 = 0.5799628784754542, x2 = 0.3327351929006724
第98次迭代, f(x_98) = 0.1764316764481398, x1 = 0.5799622916931736, x2 = 0.3363555634441022
第99次迭代, f(x_99) = 0.1751369710998588, x1 = 0.5830372377336257, x2 = 0.3363560733091768
第100次迭代, f(x_100) = 0.1738584950394476, x1 = 0.5830365783522511, x2 = 0.3399309643164702
第101次迭代, f(x_101) = 0.1725958468805402, x1 = 0.5860576343481031, x2 = 0.3399314624449214
第102次迭代, f(x_102) = 0.1713487712252032, x1 = 0.5860570435640923, x2 = 0.3434622079001127
第103次迭代, f(x_103) = 0.1701169088094019, x1 = 0.5890260579176021, x2 = 0.3434626744946498
第104次迭代, f(x_104) = 0.1689000008241669, x1 = 0.5890255472764919, x2 = 0.3469505228070668
第105次迭代, f(x_105) = 0.1676977212487211, x1 = 0.5919443057397390, x2 = 0.3469509294922977
第106次迭代, f(x_106) = 0.1665098273127066, x1 = 0.5919438429882069, x2 = 0.3503969010955887
第107次迭代, f(x_107) = 0.1653360253824208, x1 = 0.5948140053644250, x2 = 0.3503973317469488
第108次迭代, f(x_108) = 0.1641760566983179, x1 = 0.5948135532112360, x2 = 0.3538025546925968
第109次迭代, f(x_109) = 0.1630296560677404, x1 = 0.5976366387058459, x2 = 0.3538029786572122
第110次迭代, f(x_110) = 0.1618965492353893, x1 = 0.5976362973452057, x2 = 0.3571686822384935
第111次迭代, f(x_111) = 0.1607765100971555, x1 = 0.6004139924745305, x2 = 0.3571690009907235
第112次迭代, f(x_112) = 0.1596693362065697, x1 = 0.6004135435567997, x2 = 0.3604958424593407
第113次迭代, f(x_113) = 0.1585747555557067, x1 = 0.6031471194642234, x2 = 0.3604962398732434
第114次迭代, f(x_114) = 0.1574925499733689, x1 = 0.6031466896462736, x2 = 0.3637853405226496
第115次迭代, f(x_115) = 0.1564224963388352, x1 = 0.6058375443816209, x2 = 0.3637857397666099
第116次迭代, f(x_116) = 0.1553643783989707, x1 = 0.6058371169609090, x2 = 0.3670380353765287
第117次迭代, f(x_117) = 0.1543179853257217, x1 = 0.6084865230399390, x2 = 0.3670384232219174
第118次迭代, f(x_118) = 0.1532831043079348, x1 = 0.6084861378072505, x2 = 0.3702549457199879
第119次迭代, f(x_119) = 0.1522595248235457, x1 = 0.6110952604127121, x2 = 0.3702552351072241
第120次迭代, f(x_120) = 0.1512470407529732, x1 = 0.6110950749228624, x2 = 0.3734369977432062
第121次迭代, f(x_121) = 0.1502454752219278, x1 = 0.6136652063771922, x2 = 0.3734371251996658
第122次迭代, f(x_122) = 0.1492546629803670, x1 = 0.6136650896185415, x2 = 0.3765847464322052
第123次迭代, f(x_123) = 0.1482744010390630, x1 = 0.6161973632992260, x2 = 0.3765848092169822
第124次迭代, f(x_124) = 0.1473045566192416, x1 = 0.6161972425600988, x2 = 0.3796989539939529
第125次迭代, f(x_125) = 0.1463449112320904, x1 = 0.6186927035656403, x2 = 0.3796990110466142
第126次迭代, f(x_126) = 0.1453953429765683, x1 = 0.6186925873055249, x2 = 0.3827804273883692
第127次迭代, f(x_127) = 0.1444556432788216, x1 = 0.6211522761532399, x2 = 0.3827804855741196
第128次迭代, f(x_128) = 0.1435257001239034, x1 = 0.6211521411985971, x2 = 0.3858297480864949
第129次迭代, f(x_129) = 0.1426053347691162, x1 = 0.6235770744027946, x2 = 0.3858298981516506
第130次迭代, f(x_130) = 0.1416944203363771, x1 = 0.6235768068661780, x2 = 0.3888477636091437
第131次迭代, f(x_131) = 0.1407927523744809, x1 = 0.6259678300798079, x2 = 0.3888479354146085
第132次迭代, f(x_132) = 0.1399002120438448, x1 = 0.6259676323609124, x2 = 0.3918353303689880
第133次迭代, f(x_133) = 0.1390166212487015, x1 = 0.6283257484399158, x2 = 0.3918354226690831
第134次迭代, f(x_134) = 0.1381419059439943, x1 = 0.6283255376854504, x2 = 0.3947927132644767
第135次迭代, f(x_135) = 0.1372758866885819, x1 = 0.6306516292454881, x2 = 0.3947928810321543
第136次迭代, f(x_136) = 0.1364184881876236, x1 = 0.6306512648458540, x2 = 0.3977204919613267
第137次迭代, f(x_137) = 0.1355695346161012, x1 = 0.6329461711893456, x2 = 0.3977208187760037
第138次迭代, f(x_138) = 0.1347289507124004, x1 = 0.6329455753625519, x2 = 0.4006192860652688
第139次迭代, f(x_139) = 0.1338965566043519, x1 = 0.6352100093650282, x2 = 0.4006197891855782
第140次迭代, f(x_140) = 0.1330722508162738, x1 = 0.6352093055729006, x2 = 0.4034899920106036
第141次迭代, f(x_141) = 0.1322558733609841, x1 = 0.6374439208026925, x2 = 0.4034905250359238
第142次迭代, f(x_142) = 0.1314472800971672, x1 = 0.6374434112396864, x2 = 0.4063334418362087
第143次迭代, f(x_143) = 0.1306463917277666, x1 = 0.6396492447400604, x2 = 0.4063338439046255
第144次迭代, f(x_144) = 0.1298531537398907, x1 = 0.6396485692204681, x2 = 0.4091494258788326
第145次迭代, f(x_145) = 0.1290673952863196, x1 = 0.6418260804313080, x2 = 0.4091499494785709
第146次迭代, f(x_146) = 0.1282890122241256, x1 = 0.6418254445723419, x2 = 0.4119390747103225
第147次迭代, f(x_147) = 0.1275178971796874, x1 = 0.6439752967730256, x2 = 0.4119395709971855
第148次迭代, f(x_148) = 0.1267538999869121, x1 = 0.6439748605012270, x2 = 0.4147030571202105
第149次迭代, f(x_149) = 0.1259969648928369, x1 = 0.6460979583937458, x2 = 0.4147033934240298
第150次迭代, f(x_150) = 0.1252470334080609, x1 = 0.6460974239046415, x2 = 0.4174412398502008
第151次迭代, f(x_151) = 0.1245039553411129, x1 = 0.6481941731608351, x2 = 0.4174416199024774
第152次迭代, f(x_152) = 0.1237676391265287, x1 = 0.6481937477874078, x2 = 0.4201545809678501
第153次迭代, f(x_153) = 0.1230379990352191, x1 = 0.6502648260405099, x2 = 0.4201549069984204
第154次迭代, f(x_154) = 0.1223149302318489, x1 = 0.6502644853456979, x2 = 0.4228434389569246
第155次迭代, f(x_155) = 0.1215983597105689, x1 = 0.6523105531817188, x2 = 0.4228437092563698
第156次迭代, f(x_156) = 0.1208882124631101, x1 = 0.6523101778298033, x2 = 0.4255080951623424
第157次迭代, f(x_157) = 0.1201843804988246, x1 = 0.6543318037919911, x2 = 0.4255083701987086
第158次迭代, f(x_158) = 0.1194868239637350, x1 = 0.6543313379450773, x2 = 0.4281488924075075
第159次迭代, f(x_159) = 0.1187954171291782, x1 = 0.6563289546921253, x2 = 0.4281492435097585
第160次迭代, f(x_160) = 0.1181100779856143, x1 = 0.6563285319386074, x2 = 0.4307666305484844
第161次迭代, f(x_161) = 0.1174307175039326, x1 = 0.6583027151640667, x2 = 0.4307669243097782
第162次迭代, f(x_162) = 0.1167572598225437, x1 = 0.6583023854293900, x2 = 0.4333615913611390
第163次迭代, f(x_163) = 0.1160896358591528, x1 = 0.6602536912143249, x2 = 0.4333618422717240
第164次迭代, f(x_164) = 0.1154277765956618, x1 = 0.6602533641420003, x2 = 0.4359340708842497
第165次迭代, f(x_165) = 0.1147715999182048, x1 = 0.6621822725055049, x2 = 0.4359343173156156
第166次迭代, f(x_166) = 0.1141210438862364, x1 = 0.6621819367335199, x2 = 0.4384845035626869
第167次迭代, f(x_167) = 0.1134760180926665, x1 = 0.6640889273723960, x2 = 0.4384847371766449
第168次迭代, f(x_168) = 0.1128364754312750, x1 = 0.6640885899383285, x2 = 0.4410131899407166
第169次迭代, f(x_169) = 0.1122023336928353, x1 = 0.6659742028522507, x2 = 0.4410134512069467
第170次迭代, f(x_170) = 0.1115735794559699, x1 = 0.6659736845524543, x2 = 0.4435202813833311
第171次迭代, f(x_171) = 0.1109500814976551, x1 = 0.6678381806381103, x2 = 0.4435206538683332
第172次迭代, f(x_172) = 0.1103317741030074, x1 = 0.6678377293156139, x2 = 0.4460066260670504
第173次迭代, f(x_173) = 0.1097185989615130, x1 = 0.6696816195846622, x2 = 0.4460069629002446
第174次迭代, f(x_174) = 0.1091104750132035, x1 = 0.6696812524440579, x2 = 0.4484724672616896
第175次迭代, f(x_175) = 0.1085073616518584, x1 = 0.6715050037988953, x2 = 0.4484727503439124
第176次迭代, f(x_176) = 0.1079091908910407, x1 = 0.6715046562436858, x2 = 0.4509180400897078
第177次迭代, f(x_177) = 0.1073159039728752, x1 = 0.6733086990866634, x2 = 0.4509182945567169
第178次迭代, f(x_178) = 0.1067274659605347, x1 = 0.6733083014115151, x2 = 0.4533434864677407
第179次迭代, f(x_179) = 0.1061438051340444, x1 = 0.6750929547643570, x2 = 0.4533438046334182
第180次迭代, f(x_180) = 0.1055648559618970, x1 = 0.6750925425118549, x2 = 0.4557493888118588
第181次迭代, f(x_181) = 0.1049905592572219, x1 = 0.6768581943578948, x2 = 0.4557496889331660
第182次迭代, f(x_182) = 0.1044208492819894, x1 = 0.6768578497587672, x2 = 0.4581361076230980
第183次迭代, f(x_183) = 0.1038556778019634, x1 = 0.6786048921859575, x2 = 0.4581363461752014
第184次迭代, f(x_184) = 0.1032949861262816, x1 = 0.6786046264847045, x2 = 0.4605039350257074
第185次迭代, f(x_185) = 0.1027387203686699, x1 = 0.6803333912351951, x2 = 0.4605040985989980
第186次迭代, f(x_186) = 0.1021868161704988, x1 = 0.6803332732856442, x2 = 0.4628532134690533
第187次迭代, f(x_187) = 0.1016392456352809, x1 = 0.6820441842411673, x2 = 0.4628532933662556
第188次迭代, f(x_188) = 0.1010959636882122, x1 = 0.6820440853117515, x2 = 0.4651839619290508
第189次迭代, f(x_189) = 0.1005569265604984, x1 = 0.6837374161914392, x2 = 0.4651840537397177
第190次迭代, f(x_190) = 0.1000220666470701, x1 = 0.6837373454761903, x2 = 0.4674966786387068
第191次迭代, f(x_191) = 0.0994913434642430, x1 = 0.6854134711943797, x2 = 0.4674967204873428
第192次迭代, f(x_192) = 0.0989647178892003, x1 = 0.6854134175013399, x2 = 0.4697914521924142
第193次迭代, f(x_193) = 0.0984421455043769, x1 = 0.6870726200184206, x2 = 0.4697915053054412
第194次迭代, f(x_194) = 0.0979235698620774, x1 = 0.6870725805227854, x2 = 0.4720686122153996
第195次迭代, f(x_195) = 0.0974089651017195, x1 = 0.6887152741279501, x2 = 0.4720686745246873
第196次迭代, f(x_196) = 0.0968983178503432, x1 = 0.6887150536254364, x2 = 0.4743280945112792
第197次迭代, f(x_197) = 0.0963915450666734, x1 = 0.6903413395704876, x2 = 0.4743282672451861
第198次迭代, f(x_198) = 0.0958885749275220, x1 = 0.6903411959538582, x2 = 0.4765707610344705
第199次迭代, f(x_199) = 0.0953893905326796, x1 = 0.6919515052592170, x2 = 0.4765708680640395
第200次迭代, f(x_200) = 0.0948939413138594, x1 = 0.6919513978091071, x2 = 0.4787965921406064
第201次迭代, f(x_201) = 0.0944021932170998, x1 = 0.6935460525026266, x2 = 0.4787966670976319
第202次迭代, f(x_202) = 0.0939141352020307, x1 = 0.6935458677189318, x2 = 0.4810055561733587
第203次迭代, f(x_203) = 0.0934297113108549, x1 = 0.6951250622853928, x2 = 0.4810057182396736
第204次迭代, f(x_204) = 0.0929488833440630, x1 = 0.6951248069629313, x2 = 0.4831981142007581
第205次迭代, f(x_205) = 0.0924716053227387, x1 = 0.6966887981709964, x2 = 0.4831983107397158
第206次迭代, f(x_206) = 0.0919978248067575, x1 = 0.6966885679728938, x2 = 0.4853746705092780
第207次迭代, f(x_207) = 0.0915275067321892, x1 = 0.6982376930843763, x2 = 0.4853748187628522
第208次迭代, f(x_208) = 0.0910606348274526, x1 = 0.6982374529334407, x2 = 0.4875351488214808
第209次迭代, f(x_209) = 0.0905971706621931, x1 = 0.6997718947885369, x2 = 0.4875353481144710
第210次迭代, f(x_210) = 0.0901370589250888, x1 = 0.6997716553852370, x2 = 0.4896799827970929
第211次迭代, f(x_211) = 0.0896802830168220, x1 = 0.7012917704816153, x2 = 0.4896801787191457
第212次迭代, f(x_212) = 0.0892268313109651, x1 = 0.7012913940222245, x2 = 0.4918091115975589
第213次迭代, f(x_213) = 0.0887766308792694, x1 = 0.7027973205863832, x2 = 0.4918093676295363
第214次迭代, f(x_214) = 0.0883296661011384, x1 = 0.7027969278994154, x2 = 0.4939229293020833
第215次迭代, f(x_215) = 0.0878858983566414, x1 = 0.7042889265984303, x2 = 0.4939232268598159
第216次迭代, f(x_216) = 0.0874452938806982, x1 = 0.7042884955887756, x2 = 0.4960216561417339
第217次迭代, f(x_217) = 0.0870078173223638, x1 = 0.7057668526953168, x2 = 0.4960219706318032
第218次迭代, f(x_218) = 0.0865734664150029, x1 = 0.7057663065570353, x2 = 0.4981053184561406
第219次迭代, f(x_219) = 0.0861421731889955, x1 = 0.7072311490925017, x2 = 0.4981056974658616
第220次迭代, f(x_220) = 0.0857139116586475, x1 = 0.7072306170386318, x2 = 0.5001743771250422
第221次迭代, f(x_221) = 0.0852886517818553, x1 = 0.7086822976626911, x2 = 0.5001747583487108
第222次迭代, f(x_222) = 0.0848664105232035, x1 = 0.7086815995610197, x2 = 0.5022286668080111
第223次迭代, f(x_223) = 0.0844470975702049, x1 = 0.7101202115257722, x2 = 0.5022291325772276
第224次迭代, f(x_224) = 0.0840307203068599, x1 = 0.7101194725392265, x2 = 0.5042686360875502
第225次迭代, f(x_225) = 0.0836172185227789, x1 = 0.7115451854246854, x2 = 0.5042691425280285
第226次迭代, f(x_226) = 0.0832065474053356, x1 = 0.7115445488066998, x2 = 0.5062947382654605
第227次迭代, f(x_227) = 0.0827986999503993, x1 = 0.7129577150704141, x2 = 0.5062951826496244
第228次迭代, f(x_228) = 0.0823936677731231, x1 = 0.7129570281834450, x2 = 0.5083067049997906
第229次迭代, f(x_229) = 0.0819914119737124, x1 = 0.7143577297958168, x2 = 0.5083072025172222
第230次迭代, f(x_230) = 0.0815918892828941, x1 = 0.7143570599545750, x2 = 0.5103050866114424
第231次迭代, f(x_231) = 0.0811950743505351, x1 = 0.7157455447181822, x2 = 0.5103055352352476
第232次迭代, f(x_232) = 0.0808009423802346, x1 = 0.7157449344186053, x2 = 0.5122899652638048
第233次迭代, f(x_233) = 0.0804094676353206, x1 = 0.7171213777730580, x2 = 0.5122903750383718
第234次迭代, f(x_234) = 0.0800206190522438, x1 = 0.7171208403024845, x2 = 0.5142615181149295
第235次迭代, f(x_235) = 0.0796343849640473, x1 = 0.7184854170235730, x2 = 0.5142618952419569
第236次迭代, f(x_236) = 0.0792507157594070, x1 = 0.7184849636015963, x2 = 0.5162200025116683
第237次迭代, f(x_237) = 0.0788696074884693, x1 = 0.7198378678352799, x2 = 0.5162203103803412
第238次迭代, f(x_238) = 0.0784910114258075, x1 = 0.7198375267722857, x2 = 0.5181656095616392
第239次迭代, f(x_239) = 0.0781149235833274, x1 = 0.7211789992579155, x2 = 0.5181658276613212
第240次迭代, f(x_240) = 0.0777413352150716, x1 = 0.7211786679723010, x2 = 0.5200982088473829
第241次迭代, f(x_241) = 0.0773702121760399, x1 = 0.7225088571133873, x2 = 0.5200984294479556
第242次迭代, f(x_242) = 0.0770015658540165, x1 = 0.7225084400910236, x2 = 0.5220178689463538
第243次迭代, f(x_243) = 0.0766353367674438, x1 = 0.7238274607340947, x2 = 0.5220181433251890
第244次迭代, f(x_244) = 0.0762715320024636, x1 = 0.7238269890850976, x2 = 0.5239248418406725
第245次迭代, f(x_245) = 0.0759101018608668, x1 = 0.7251349665299103, x2 = 0.5239251584578019
第246次迭代, f(x_246) = 0.0755510202111360, x1 = 0.7251345416918067, x2 = 0.5258194698131619
第247次迭代, f(x_247) = 0.0751942762294178, x1 = 0.7264317428260423, x2 = 0.5258197690013838
第248次迭代, f(x_248) = 0.0748398684762877, x1 = 0.7264312363945729, x2 = 0.5277015949814231
第249次迭代, f(x_249) = 0.0744877542329116, x1 = 0.7277176546438094, x2 = 0.5277019460238122
第250次迭代, f(x_250) = 0.0741378675073303, x1 = 0.7277173022714234, x2 = 0.5295719722366102
第251次迭代, f(x_251) = 0.0737902288138737, x1 = 0.7289932974009075, x2 = 0.5295722065145226
第252次迭代, f(x_252) = 0.0734448283708923, x1 = 0.7289929367279934, x2 = 0.5314301766810774
第253次迭代, f(x_253) = 0.0731016379832876, x1 = 0.7302585672217700, x2 = 0.5314304219859199
第254次迭代, f(x_254) = 0.0727606477864314, x1 = 0.7302581831574327, x2 = 0.5332764404633958
第255次迭代, f(x_255) = 0.0724218307915744, x1 = 0.7315136085738717, x2 = 0.5332767075120964
第256次迭代, f(x_256) = 0.0720851851452727, x1 = 0.7315131565522734, x2 = 0.5351108598623346
第257次迭代, f(x_257) = 0.0717506670439891, x1 = 0.7327584788668642, x2 = 0.5351111560496783
第258次迭代, f(x_258) = 0.0714182667092924, x1 = 0.7327580372250788, x2 = 0.5369336969126595
第259次迭代, f(x_259) = 0.0710879603291401, x1 = 0.7339933792383895, x2 = 0.5369339948056592
第260次迭代, f(x_260) = 0.0707597060674662, x1 = 0.7339930338493317, x2 = 0.5387452562125702
第261次迭代, f(x_261) = 0.0704335120902711, x1 = 0.7352186694427513, x2 = 0.5387454947328073
第262次迭代, f(x_262) = 0.0701093859850303, x1 = 0.7352182295823004, x2 = 0.5405452166278958
第263次迭代, f(x_263) = 0.0697872784902659, x1 = 0.7364341158006111, x2 = 0.5405455053296785
第264次迭代, f(x_264) = 0.0694671522341389, x1 = 0.7364337802152214, x2 = 0.5423342382927104
第265次迭代, f(x_265) = 0.0691490097183329, x1 = 0.7376401723337636, x2 = 0.5423344554689000
第266次迭代, f(x_266) = 0.0688328305967972, x1 = 0.7376398837904120, x2 = 0.5441121589695991
第267次迭代, f(x_267) = 0.0685186076878619, x1 = 0.7388368613277012, x2 = 0.5441123593921767
